id,message_mode,user_id,read_status,added_date
20363,2,19578,0,1/01/2017 0:15
20368,2,19434,0,1/01/2017 1:15
20374,1,19697,0,1/01/2017 2:39
20375,5,19691,1,1/01/2017 2:45
20377,2,19436,0,1/01/2017 3:15
20379,2,19582,0,1/01/2017 3:30
20383,1,19699,0,1/01/2017 4:28
20386,2,19441,0,1/01/2017 4:45
20388,2,19442,0,1/01/2017 5:00
20389,4,19442,0,1/01/2017 5:00
20396,2,19586,0,1/01/2017 6:15
20403,2,19590,1,1/01/2017 8:45
20408,5,19656,1,1/01/2017 11:00
20415,2,19594,1,1/01/2017 13:15
20418,2,19596,0,1/01/2017 14:45
20425,2,19456,0,1/01/2017 17:15
20428,2,19600,0,1/01/2017 18:00
20430,2,19601,0,1/01/2017 19:00
20437,1,19707,1,1/01/2017 20:16
20443,2,19608,0,1/01/2017 22:15
20447,2,19610,0,1/01/2017 22:30
20450,2,19612,0,1/01/2017 22:45
20457,1,19714,1,1/01/2017 23:39
20460,2,19463,0,2/01/2017 0:15
20463,2,19464,0,2/01/2017 0:30
20464,1,19716,1,2/01/2017 0:55
20469,2,19466,1,2/01/2017 1:45
20478,1,19719,0,2/01/2017 3:22
20480,2,19470,0,2/01/2017 3:45
20482,4,19470,0,2/01/2017 3:45
20488,1,19721,1,2/01/2017 4:10
20490,1,19722,1,2/01/2017 4:23
20493,2,19627,0,2/01/2017 4:45
20497,2,19473,0,2/01/2017 5:45
20503,2,19633,0,2/01/2017 6:15
20507,2,19636,0,2/01/2017 6:45
20509,2,19475,0,2/01/2017 7:00
20510,2,19637,0,2/01/2017 7:00
20514,3,19722,1,2/01/2017 7:45
20516,2,19477,0,2/01/2017 8:15
20524,2,19641,0,2/01/2017 9:30
20529,1,19732,1,2/01/2017 10:43
20535,1,19738,1,2/01/2017 12:59
20539,1,19740,0,2/01/2017 14:08
20545,1,19742,0,2/01/2017 15:42
20557,2,19650,0,2/01/2017 19:30
20561,2,19653,0,2/01/2017 20:15
20563,2,19485,0,2/01/2017 20:30
20564,1,19750,0,2/01/2017 20:50
20570,2,19656,0,2/01/2017 21:45
20574,1,19754,0,2/01/2017 22:18
20577,2,19661,0,2/01/2017 22:45
20583,1,19758,0,2/01/2017 23:37
20584,2,19662,0,2/01/2017 23:45
20585,2,19663,0,2/01/2017 23:45
20588,2,19664,0,3/01/2017 0:00
20596,2,19666,0,3/01/2017 1:15
20599,2,19489,0,3/01/2017 2:00
20601,2,19490,0,3/01/2017 2:15
20609,1,19765,1,3/01/2017 3:16
20613,2,19493,0,3/01/2017 4:00
20623,3,19765,1,3/01/2017 4:45
20624,2,19499,0,3/01/2017 5:00
20628,1,19769,0,3/01/2017 5:35
20629,5,19758,0,3/01/2017 5:45
20632,2,19673,0,3/01/2017 6:15
20633,2,19674,0,3/01/2017 6:45
20635,3,19722,1,3/01/2017 6:45
20637,2,19504,0,3/01/2017 7:00
20641,2,19675,0,3/01/2017 7:15
20647,2,19510,0,3/01/2017 8:30
20648,2,19679,0,3/01/2017 8:30
20654,2,19680,0,3/01/2017 9:45
20662,2,19685,0,3/01/2017 12:45
20665,1,19775,1,3/01/2017 15:25
20669,2,19518,0,3/01/2017 16:00
20671,2,19519,0,3/01/2017 16:15
20672,1,19776,0,3/01/2017 16:34
20674,2,19521,0,3/01/2017 17:30
20680,1,19780,0,3/01/2017 18:49
20683,2,19688,0,3/01/2017 20:00
20689,2,19527,0,3/01/2017 21:00
20695,2,19529,0,3/01/2017 22:15
20698,2,19530,0,3/01/2017 22:45
20702,2,19691,0,3/01/2017 23:15
20725,2,19697,0,4/01/2017 2:45
20727,1,19795,0,4/01/2017 2:54
20730,1,19797,1,4/01/2017 3:42
20731,1,19798,0,4/01/2017 3:44
20732,3,19765,1,4/01/2017 3:45
